Ceres Product Code,Order (UNITS),Order (CASES),Product Description,Unit Size,Quantity,Unit Trade Price,Case Trade Price
,,,,,,,
GROCERY,,,,,,,
,,,,,,,
11130,,,Almond Butter (Natural),200g,6 Outer,$7.48,$44.88
10310,,,Cashew Butter (Natural),300g,6 Outer,$8.38,$50.28
,,,Ceres Organics,,,,
11923,,,"ABC Butter (Almond, Brazil, Cashew)",300g,6 Outer,$10.72,$64.32
11101,,,Almond Butter,200g,6 Outer,$10.14,$60.84
10617,,,Almond Butter,300g,6 Outer,$12.60,$75.60
10947,,,Almond Peanut Butter (Nutter),300g,6 Outer,$8.08,$48.48
12390,,,Cacao Almond Crush,300g,6 outer,$10.42,$62.52
10899,,,Cashew Butter,200g,6 Outer,$7.53,$45.18
12389,,,Cashew Coconut Butter,280g,6 Outer,$8.38,$50.28
12232,,,Coconut Butter (Creamed Coconut),300g,6 Outer,$5.79,$34.74
12102,,,"Energy Spread (Pumpkin, Sunflower Seed & Almond)",290g,6 Outer,$7.97,$47.82
10512,,,Peanut Butter Crunchy,300g,6 Outer,$4.05,$24.30
11536,,,Peanut Butter Crunchy,700g,6 Outer,$7.53,$45.18
11951,,,Peanut Butter Crunchy (No Salt),300g,6 Outer,$4.05,$24.30
10511,,,Peanut Butter Smooth,300g,6 Outer,$4.05,$24.30
11535,,,Peanut Butter Smooth,700g,6 Outer,$7.53,$45.18
11952,,,Peanut Butter Smooth (No Salt),300g,6 Outer,$4.05,$24.30
12100,,,Pumpkin Seed Butter,290g,6 Outer,$6.66,$39.96
10311,,,Sunflower Butter,300g,6 Outer,$5.07,$30.42
,,,SPREADS - TAHINI,,,,
,,,Ceres Organics,,,,
10323,,,Tahini Hulled,300g,6 Outer,$6.34,$38.04
10324,,,Tahini Unhulled,300g,6 Outer,$6.34,$38.04
,,,SPREADS - HONEY,,,,
,,,Woodland Honey,,,,
11019,,,Honey Manuka Active 10+,500g,24 Outer,$24.63,$591.12
,,,SPREADS - JAMS/CONSERVES,,,,
,,,Rapunzel,,,,
11608,,,Samba Hazelnut Dark Chocolate Spread,250g,6 Outer,$8.40,$50.40
,,,BREAKFAST CEREAL - MUESLI,,,,
,,,Ceres Organics,,,,
11071,,,Muesli Apricot Almond (Stand Up Pouch),700g,6 Outer,$7.30,$43.80
12257,,,Muesli Bircher Cacao Almond Maca (Stand Up Pouch),650g,6 Outer,$8.67,$52.02
12259,,,Muesli Bircher LSA Blueberry Chia (Stand Up Pouch),650g,6 Outer,$8.67,$52.02
11069,,,Muesli Bircher Original (Stand Up Pouch),700g,6 Outer,$7.30,$43.80
12258,,,Muesli Bircher Quinoa Chia Goji (Stand Up Pouch),650g,6 Outer,$8.67,$52.02
11873,,,Muesli Gluten Free Super Grain Fruit Mix (Stand Up Pouch),400g,6 Outer,$7.30,$43.80
11002,,,Muesli Golden Crunch (Stand Up Pouch),700g,6 Outer,$7.30,$43.80
11070,,,Muesli Honey Toasted (Stand Up Pouch),800g,6 Outer,$7.30,$43.80
10327,,,Muesli Original,1kg,10 Outer,$7.82,$78.20
11216,,,Muesli Tropical (Stand Up Pouch),700g,6 Outer,$7.30,$43.80
